Lea State,LEA,School State,School,ID,Year,Category,Amount,Full Time Equivalent (FTE),American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
NJ,NEWARK,NJ,FOURTEENTH AVENUE,341134002276,2009,Personnel salaries at school level - teachers only,874104.00,17.00,,,,,,,,,,,
NJ,NEWARK,NJ,FOURTEENTH AVENUE,341134002276,2009,Total enrollment,,,0.00,0.00,0.00,50.00,165.00,0.00,0.00,215.00,55.00,0.00,30.00
NJ,NEWARK,NJ,HARRIET TUBMAN,341134002282,2009,Personnel salaries at school level - total,2595529.00,,,,,,,,,,,,
NJ,NEWARK,NJ,HARRIET TUBMAN,341134002282,2009,Personnel salaries at school level - instructional staff only,1628038.00,,,,,,,,,,,,
NJ,NEWARK,NJ,HARRIET TUBMAN,341134002282,2009,Non-personnel expenditures at school level,44896.00,,,,,,,,,,,,
NJ,NEWARK,NJ,HARRIET TUBMAN,341134002282,2009,Personnel salaries at school level - teachers only,1555305.00,18.80,,,,,,,,,,,
NJ,NEWARK,NJ,HARRIET TUBMAN,341134002282,2009,Total enrollment,,,0.00,0.00,0.00,20.00,275.00,0.00,0.00,295.00,10.00,0.00,0.00
NJ,NEWARK,NJ,JOHN F KENNEDY,341134002296,2009,Personnel salaries at school level - total,2072749.00,,,,,,,,,,,,
NJ,NEWARK,NJ,JOHN F KENNEDY,341134002296,2009,Personnel salaries at school level - instructional staff only,701778.00,,,,,,,,,,,,
NJ,NEWARK,NJ,JOHN F KENNEDY,341134002296,2009,Non-personnel expenditures at school level,111072.00,,,,,,,,,,,,
NJ,NEWARK,NJ,JOHN F KENNEDY,341134002296,2009,Personnel salaries at school level - teachers only,588498.00,7.00,,,,,,,,,,,
NJ,NEWARK,NJ,JOHN F KENNEDY,341134002296,2009,Total enrollment,,,0.00,5.00,0.00,30.00,85.00,0.00,0.00,120.00,120.00,0.00,5.00
NJ,NEWARK,NJ,ACADEMY OF VOC CAREERS,341134002322,2009,Personnel salaries at school level - total,2263173.00,,,,,,,,,,,,
NJ,NEWARK,NJ,ACADEMY OF VOC CAREERS,341134002322,2009,Personnel salaries at school level - instructional staff only,974022.00,,,,,,,,,,,,
NJ,NEWARK,NJ,ACADEMY OF VOC CAREERS,341134002322,2009,Non-personnel expenditures at school level,124089.00,,,,,,,,,,,,
NJ,NEWARK,NJ,ACADEMY OF VOC CAREERS,341134002322,2009,Personnel salaries at school level - teachers only,974022.00,24.00,,,,,,,,,,,
NJ,NEWARK,NJ,ACADEMY OF VOC CAREERS,341134002322,2009,Total enrollment,,,0.00,0.00,0.00,35.00,210.00,0.00,0.00,245.00,185.00,0.00,0.00
NJ,NEWARK,NJ,NEWTON ST,341134002328,2009,Personnel salaries at school level - total,2368278.00,,,,,,,,,,,,
NJ,NEWARK,NJ,NEWTON ST,341134002328,2009,Personnel salaries at school level - instructional staff only,1248897.00,,,,,,,,,,,,
NJ,NEWARK,NJ,NEWTON ST,341134002328,2009,Non-personnel expenditures at school level,94868.00,,,,,,,,,,,,
NJ,NEWARK,NJ,NEWTON ST,341134002328,2009,Personnel salaries at school level - teachers only,1182438.00,24.00,,,,,,,,,,,
NJ,NEWARK,NJ,NEWTON ST,341134002328,2009,Total enrollment,,,0.00,0.00,0.00,30.00,345.00,5.00,0.00,385.00,55.00,5.00,0.00
NJ,NEWARK,NJ,QUITMAN COMMUNITY SCHOOL,341134002334,2009,Personnel salaries at school level - total,3427404.00,,,,,,,,,,,,
NJ,NEWARK,NJ,QUITMAN COMMUNITY SCHOOL,341134002334,2009,Personnel salaries at school level - instructional staff only,2294202.00,,,,,,,,,,,,
NJ,NEWARK,NJ,QUITMAN COMMUNITY SCHOOL,341134002334,2009,Non-personnel expenditures at school level,79186.00,,,,,,,,,,,,
NJ,NEWARK,NJ,QUITMAN COMMUNITY SCHOOL,341134002334,2009,Personnel salaries at school level - teachers only,2191784.00,36.00,,,,,,,,,,,
NJ,NEWARK,NJ,QUITMAN COMMUNITY SCHOOL,341134002334,2009,Total enrollment,,,5.00,0.00,0.00,80.00,420.00,0.00,0.00,510.00,20.00,0.00,20.00
NJ,NEWARK,NJ,SOUTH SEVENTEENTH ST,341134002354,2009,Personnel salaries at school level - total,3011868.00,,,,,,,,,,,,
NJ,NEWARK,NJ,SOUTH SEVENTEENTH ST,341134002354,2009,Personnel salaries at school level - instructional staff only,1652750.00,,,,,,,,,,,,
NJ,NEWARK,NJ,SOUTH SEVENTEENTH ST,341134002354,2009,Non-personnel expenditures at school level,111319.00,,,,,,,,,,,,
NJ,NEWARK,NJ,SOUTH SEVENTEENTH ST,341134002354,2009,Personnel salaries at school level - teachers only,1565407.00,26.00,,,,,,,,,,,
