Lea State,LEA,School State,School,ID,Year,Category,Amount,Full Time Equivalent (FTE),American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,ATLANTA CITY,GA,KIMBERLY ELEMENTARY SCHOOL,130012000038,2009,Personnel salaries at school level - teachers only,3525873.00,29.40,,,,,,,,,,,
GA,ATLANTA CITY,GA,KIMBERLY ELEMENTARY SCHOOL,130012000038,2009,Total enrollment,,,0.00,0.00,0.00,0.00,445.00,0.00,0.00,450.00,30.00,0.00,5.00
GA,ATLANTA CITY,GA,HUTCHINSON ELEMENTARY SCHOOL,130012000039,2009,Personnel salaries at school level - total,4741176.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,HUTCHINSON ELEMENTARY SCHOOL,130012000039,2009,Personnel salaries at school level - instructional staff only,4054952.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,HUTCHINSON ELEMENTARY SCHOOL,130012000039,2009,Non-personnel expenditures at school level,686223.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,HUTCHINSON ELEMENTARY SCHOOL,130012000039,2009,Personnel salaries at school level - teachers only,3368986.00,38.10,,,,,,,,,,,
GA,ATLANTA CITY,GA,HUTCHINSON ELEMENTARY SCHOOL,130012000039,2009,Total enrollment,,,50.00,0.00,0.00,35.00,400.00,0.00,0.00,490.00,40.00,0.00,75.00
GA,ATLANTA CITY,GA,GROVE PARK ELEMENTARY SCHOOL,130012000042,2009,Personnel salaries at school level - total,4818696.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,GROVE PARK ELEMENTARY SCHOOL,130012000042,2009,Personnel salaries at school level - instructional staff only,4184687.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,GROVE PARK ELEMENTARY SCHOOL,130012000042,2009,Non-personnel expenditures at school level,634008.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,GROVE PARK ELEMENTARY SCHOOL,130012000042,2009,Personnel salaries at school level - teachers only,3394559.00,30.60,,,,,,,,,,,
GA,ATLANTA CITY,GA,GROVE PARK ELEMENTARY SCHOOL,130012000042,2009,Total enrollment,,,0.00,0.00,0.00,5.00,395.00,0.00,0.00,405.00,40.00,0.00,0.00
GA,ATLANTA CITY,GA,HUMPHRIES ELEMENTARY SCHOOL,130012000043,2009,Personnel salaries at school level - total,4506902.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,HUMPHRIES ELEMENTARY SCHOOL,130012000043,2009,Personnel salaries at school level - instructional staff only,3820265.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,HUMPHRIES ELEMENTARY SCHOOL,130012000043,2009,Non-personnel expenditures at school level,686585.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,HUMPHRIES ELEMENTARY SCHOOL,130012000043,2009,Personnel salaries at school level - teachers only,3279232.00,27.30,,,,,,,,,,,
GA,ATLANTA CITY,GA,HUMPHRIES ELEMENTARY SCHOOL,130012000043,2009,Total enrollment,,,30.00,0.00,0.00,20.00,310.00,0.00,0.00,365.00,30.00,0.00,40.00
GA,ATLANTA CITY,GA,F. L. STANTON ELEMENTARY SCHOOL,130012000045,2009,Personnel salaries at school level - total,3032609.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,F. L. STANTON ELEMENTARY SCHOOL,130012000045,2009,Personnel salaries at school level - instructional staff only,2559560.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,F. L. STANTON ELEMENTARY SCHOOL,130012000045,2009,Non-personnel expenditures at school level,473013.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,F. L. STANTON ELEMENTARY SCHOOL,130012000045,2009,Personnel salaries at school level - teachers only,2129118.00,23.20,,,,,,,,,,,
GA,ATLANTA CITY,GA,F. L. STANTON ELEMENTARY SCHOOL,130012000045,2009,Total enrollment,,,0.00,0.00,0.00,0.00,270.00,0.00,0.00,275.00,25.00,0.00,0.00
GA,ATLANTA CITY,GA,KENNEDY MIDDLE SCHOOL,130012000048,2009,Personnel salaries at school level - total,6127022.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,KENNEDY MIDDLE SCHOOL,130012000048,2009,Personnel salaries at school level - instructional staff only,5231392.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,KENNEDY MIDDLE SCHOOL,130012000048,2009,Non-personnel expenditures at school level,895441.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,KENNEDY MIDDLE SCHOOL,130012000048,2009,Personnel salaries at school level - teachers only,4230815.00,36.00,,,,,,,,,,,
GA,ATLANTA CITY,GA,KENNEDY MIDDLE SCHOOL,130012000048,2009,Total enrollment,,,0.00,0.00,0.00,0.00,345.00,0.00,0.00,345.00,45.00,0.00,0.00
GA,ATLANTA CITY,GA,PARKS MIDDLE SCHOOL,130012000049,2009,Personnel salaries at school level - total,5372573.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,PARKS MIDDLE SCHOOL,130012000049,2009,Personnel salaries at school level - instructional staff only,4889702.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,PARKS MIDDLE SCHOOL,130012000049,2009,Non-personnel expenditures at school level,482794.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,PARKS MIDDLE SCHOOL,130012000049,2009,Personnel salaries at school level - teachers only,3847172.00,37.20,,,,,,,,,,,
GA,ATLANTA CITY,GA,PARKS MIDDLE SCHOOL,130012000049,2009,Total enrollment,,,0.00,0.00,0.00,0.00,440.00,0.00,5.00,455.00,45.00,0.00,5.00
GA,ATLANTA CITY,GA,WOODSON ELEMENTARY SCHOOL,130012000050,2009,Personnel salaries at school level - total,4325716.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,WOODSON ELEMENTARY SCHOOL,130012000050,2009,Personnel salaries at school level - instructional staff only,3578390.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,WOODSON ELEMENTARY SCHOOL,130012000050,2009,Non-personnel expenditures at school level,747300.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,WOODSON ELEMENTARY SCHOOL,130012000050,2009,Personnel salaries at school level - teachers only,3096156.00,30.30,,,,,,,,,,,
GA,ATLANTA CITY,GA,WOODSON ELEMENTARY SCHOOL,130012000050,2009,Total enrollment,,,0.00,0.00,0.00,5.00,415.00,0.00,5.00,430.00,45.00,0.00,0.00
GA,ATLANTA CITY,GA,TOOMER ELEMENTARY SCHOOL,130012000052,2009,Personnel salaries at school level - total,3289205.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,TOOMER ELEMENTARY SCHOOL,130012000052,2009,Personnel salaries at school level - instructional staff only,2581168.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,TOOMER ELEMENTARY SCHOOL,130012000052,2009,Non-personnel expenditures at school level,707995.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,TOOMER ELEMENTARY SCHOOL,130012000052,2009,Personnel salaries at school level - teachers only,2189720.00,22.00,,,,,,,,,,,
GA,ATLANTA CITY,GA,TOOMER ELEMENTARY SCHOOL,130012000052,2009,Total enrollment,,,0.00,5.00,0.00,5.00,150.00,35.00,5.00,195.00,20.00,0.00,0.00
GA,ATLANTA CITY,GA,DUNBAR ELEMENTARY SCHOOL,130012000054,2009,Personnel salaries at school level - total,3704299.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,DUNBAR ELEMENTARY SCHOOL,130012000054,2009,Personnel salaries at school level - instructional staff only,3312796.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,DUNBAR ELEMENTARY SCHOOL,130012000054,2009,Non-personnel expenditures at school level,391468.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,DUNBAR ELEMENTARY SCHOOL,130012000054,2009,Personnel salaries at school level - teachers only,2781742.00,20.30,,,,,,,,,,,
GA,ATLANTA CITY,GA,DUNBAR ELEMENTARY SCHOOL,130012000054,2009,Total enrollment,,,0.00,0.00,0.00,0.00,240.00,0.00,0.00,240.00,20.00,0.00,0.00
GA,ATLANTA CITY,GA,SYLVAN HILLS MIDDLE SCHOOL,130012000058,2009,Personnel salaries at school level - total,8809119.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,SYLVAN HILLS MIDDLE SCHOOL,130012000058,2009,Personnel salaries at school level - instructional staff only,8089126.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,SYLVAN HILLS MIDDLE SCHOOL,130012000058,2009,Non-personnel expenditures at school level,719950.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,SYLVAN HILLS MIDDLE SCHOOL,130012000058,2009,Personnel salaries at school level - teachers only,7267179.00,40.00,,,,,,,,,,,
GA,ATLANTA CITY,GA,SYLVAN HILLS MIDDLE SCHOOL,130012000058,2009,Total enrollment,,,0.00,0.00,0.00,0.00,440.00,0.00,5.00,450.00,55.00,5.00,5.00
GA,ATLANTA CITY,GA,SLATER ELEMENTARY SCHOOL,130012000059,2009,Personnel salaries at school level - total,6110682.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,SLATER ELEMENTARY SCHOOL,130012000059,2009,Personnel salaries at school level - instructional staff only,5448251.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,SLATER ELEMENTARY SCHOOL,130012000059,2009,Non-personnel expenditures at school level,662390.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,SLATER ELEMENTARY SCHOOL,130012000059,2009,Personnel salaries at school level - teachers only,4784220.00,43.40,,,,,,,,,,,
GA,ATLANTA CITY,GA,SLATER ELEMENTARY SCHOOL,130012000059,2009,Total enrollment,,,10.00,0.00,0.00,5.00,550.00,0.00,5.00,570.00,60.00,0.00,5.00
GA,ATLANTA CITY,GA,PRICE MIDDLE SCHOOL,130012000060,2009,Personnel salaries at school level - total,8207842.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,PRICE MIDDLE SCHOOL,130012000060,2009,Personnel salaries at school level - instructional staff only,7571602.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,PRICE MIDDLE SCHOOL,130012000060,2009,Non-personnel expenditures at school level,606485.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,PRICE MIDDLE SCHOOL,130012000060,2009,Personnel salaries at school level - teachers only,6578905.00,45.50,,,,,,,,,,,
GA,ATLANTA CITY,GA,PRICE MIDDLE SCHOOL,130012000060,2009,Total enrollment,,,35.00,5.00,0.00,25.00,470.00,0.00,0.00,540.00,60.00,0.00,30.00
GA,ATLANTA CITY,GA,MILES ELEMENTARY SCHOOL,130012000063,2009,Personnel salaries at school level - total,4903615.00,,,,,,,,,,,,
