Data Source,World Development Indicators,,,,,,
,,,,,,,
Last Updated Date,5/2/18,,,,,,
,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2014,2015,2016,2017
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,104015,104433,104937,
Gabon,GAB,"Population, total",SP.POP.TOTL,1875713,1930175,1979786,
United Kingdom,GBR,"Population, total",SP.POP.TOTL,64613160,65128861,65595565,
Georgia,GEO,"Population, total",SP.POP.TOTL,3727000,3717100,3719300,
Ghana,GHA,"Population, total",SP.POP.TOTL,26962563,27582821,28206728,
Gibraltar,GIB,"Population, total",SP.POP.TOTL,34038,34228,34408,
Guinea,GIN,"Population, total",SP.POP.TOTL,11805509,12091533,12395924,
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,1917852,1977590,2038501,
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1725744,1770526,1815698,
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1129424,1175389,1221490,
Greece,GRC,"Population, total",SP.POP.TOTL,10892413,10820883,10770521,
Grenada,GRD,"Population, total",SP.POP.TOTL,106360,106823,107317,
Greenland,GRL,"Population, total",SP.POP.TOTL,56295,56114,56186,
Guatemala,GTM,"Population, total",SP.POP.TOTL,15923559,16252429,16582469,
Guam,GUM,"Population, total",SP.POP.TOTL,160967,161797,162896,
Guyana,GUY,"Population, total",SP.POP.TOTL,763393,768514,773303,
High income,HIC,"Population, total",SP.POP.TOTL,1175992265,1182932407,1189954263,
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7229500,7291300,7336600,
Honduras,HND,"Population, total",SP.POP.TOTL,8809216,8960829,9112867,
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,704745420,724482652,744602976,
Croatia,HRV,"Population, total",SP.POP.TOTL,4238389,4203604,4174349,
Haiti,HTI,"Population, total",SP.POP.TOTL,10572466,10711061,10847334,
Hungary,HUN,"Population, total",SP.POP.TOTL,9866468,9843028,9814023,
IBRD only,IBD,"Population, total",SP.POP.TOTL,4610016582,4654715802,4699229277,
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,6114994143,6194063973,6273581970,
IDA total,IDA,"Population, total",SP.POP.TOTL,1504977561,1539348171,1574352693,
IDA blend,IDB,"Population, total",SP.POP.TOTL,497751634,509396383,521159047,
Indonesia,IDN,"Population, total",SP.POP.TOTL,255131116,258162113,261115456,
IDA only,IDX,"Population, total",SP.POP.TOTL,1007225927,1029951788,1053193646,
Isle of Man,IMN,"Population, total",SP.POP.TOTL,82590,83167,83737,
India,IND,"Population, total",SP.POP.TOTL,1293859294,1309053980,1324171354,
Not classified,INX,"Population, total",SP.POP.TOTL,,,,
Ireland,IRL,"Population, total",SP.POP.TOTL,4617225,4646554,4749777,
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,78411092,79360487,80277428,
Iraq,IRQ,"Population, total",SP.POP.TOTL,35006080,36115649,37202572,
Iceland,ISL,"Population, total",SP.POP.TOTL,327386,330815,335439,
Israel,ISR,"Population, total",SP.POP.TOTL,8215700,8380100,8546000,
Italy,ITA,"Population, total",SP.POP.TOTL,60789140,60730582,60627498,
Jamaica,JAM,"Population, total",SP.POP.TOTL,2862087,2871934,2881355,
Jordan,JOR,"Population, total",SP.POP.TOTL,8809306,9159302,9455802,
Japan,JPN,"Population, total",SP.POP.TOTL,127276000,127141000,126994511,
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,17289224,17544126,17794397,
Kenya,KEN,"Population, total",SP.POP.TOTL,46024250,47236259,48461567,
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,5835500,5956900,6079500,
Cambodia,KHM,"Population, total",SP.POP.TOTL,15270790,15517635,15762370,
Kiribati,KIR,"Population, total",SP.POP.TOTL,110458,112407,114395,
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,53739,54288,54821,
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,50746659,51014947,51245707,
Kuwait,KWT,"Population, total",SP.POP.TOTL,3782450,3935794,4052584,
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,597035363,603644865,610136397,
Lao PDR,LAO,"Population, total",SP.POP.TOTL,6576397,6663967,6758353,
Lebanon,LBN,"Population, total",SP.POP.TOTL,5603279,5851479,6006668,
Liberia,LBR,"Population, total",SP.POP.TOTL,4390737,4499621,4613823,
Libya,LBY,"Population, total",SP.POP.TOTL,6204108,6234955,6293253,
